Catégorie : Toutes catégories

Semaine,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2016-11-20,9,2,3,1,6
2016-11-27,10,2,4,1,6
2016-12-04,10,2,4,1,6
2016-12-11,9,3,4,1,6
2016-12-18,11,3,5,1,6
2016-12-25,13,4,6,2,7
2017-01-01,16,4,6,2,7
2017-01-08,14,4,6,2,7
2017-01-15,12,3,5,2,7
2017-01-22,11,3,5,2,7
2017-01-29,12,3,5,2,7
2017-02-05,11,3,5,2,7
2017-02-12,10,3,5,2,7
2017-02-19,9,3,5,1,7
2017-02-26,8,3,4,1,7
2017-03-05,8,3,4,1,7
2017-03-12,8,3,4,1,7
2017-03-19,7,3,4,1,7
2017-03-26,7,3,4,1,7
2017-04-02,7,3,4,1,7
2017-04-09,7,2,4,1,6
2017-04-16,7,2,4,1,7
2017-04-23,7,2,4,1,7
2017-04-30,6,2,4,1,7
2017-05-07,7,2,4,1,7
2017-05-14,7,2,4,1,7
2017-05-21,6,2,3,1,7
2017-05-28,6,2,3,1,7
2017-06-04,5,2,3,1,7
2017-06-11,5,2,3,1,7
2017-06-18,4,2,3,1,7
2017-06-25,4,2,3,< 1,7
2017-07-02,4,1,3,1,7
2017-07-09,4,1,2,1,7
2017-07-16,4,1,3,1,7
2017-07-23,4,1,3,1,7
2017-07-30,4,1,2,1,8
2017-08-06,4,1,2,1,7
2017-08-13,5,1,2,1,7
2017-08-20,5,1,2,1,8
2017-08-27,5,1,3,1,7
2017-09-03,7,2,3,1,6
2017-09-10,9,2,3,1,7
2017-09-17,10,2,3,1,7
2017-09-24,14,2,3,1,7
2017-10-01,14,2,3,1,7
2017-10-08,14,2,3,1,7
2017-10-15,13,2,4,1,7
2017-10-22,13,2,3,1,7
2017-10-29,12,2,4,1,7
2017-11-05,12,2,4,1,8
2017-11-12,11,2,4,1,8
2017-11-19,10,2,4,1,8
2017-11-26,11,2,4,2,8
2017-12-03,13,3,5,2,7
2017-12-10,14,3,5,2,8
2017-12-17,21,4,5,4,8
2017-12-24,36,6,8,7,9
2017-12-31,51,6,10,8,10
2018-01-07,60,5,8,10,8
2018-01-14,59,4,8,10,9
2018-01-21,53,3,7,10,8
2018-01-28,47,3,7,9,8
2018-02-04,40,3,6,8,9
2018-02-11,33,3,6,7,7
2018-02-18,23,3,6,5,7
2018-02-25,19,3,6,4,8
2018-03-04,16,3,6,3,8
2018-03-11,14,3,5,2,7
2018-03-18,11,3,5,2,8
2018-03-25,11,3,4,2,8
2018-04-01,9,2,4,2,8
2018-04-08,8,2,4,1,8
2018-04-15,7,2,4,1,7
2018-04-22,7,2,4,1,8
2018-04-29,6,2,3,1,7
2018-05-06,6,2,3,1,7
2018-05-13,5,2,3,1,7
2018-05-20,5,2,3,1,7
2018-05-27,5,2,3,1,7
2018-06-03,5,2,3,1,7
2018-06-10,5,2,3,1,7
2018-06-17,5,1,3,1,8
2018-06-24,4,1,2,< 1,8
2018-07-01,4,1,2,1,7
2018-07-08,4,1,2,1,8
2018-07-15,4,1,2,1,8
2018-07-22,4,1,2,1,8
2018-07-29,4,1,2,1,8
2018-08-05,4,1,2,1,8
2018-08-12,5,1,2,1,8
2018-08-19,6,1,2,1,7
2018-08-26,7,1,3,1,7
2018-09-02,10,1,3,1,8
2018-09-09,10,2,3,1,8
2018-09-16,13,2,3,1,8
2018-09-23,17,2,3,1,8
2018-09-30,20,1,3,1,8
2018-10-07,20,2,3,1,8
2018-10-14,20,2,3,2,8
2018-10-21,18,2,3,2,8
2018-10-28,16,2,3,2,8
2018-11-04,14,2,3,2,7
2018-11-11,13,2,6,2,8
2018-11-18,12,2,4,2,7
2018-11-25,13,3,4,2,8
2018-12-02,13,2,5,2,7
2018-12-09,12,3,5,2,8
2018-12-16,13,3,5,2,8
2018-12-23,16,3,6,2,8
2018-12-30,19,4,6,3,9
2019-01-06,21,4,6,3,8
2019-01-13,14,3,6,2,8
2019-01-20,13,3,7,2,8
2019-01-27,14,3,6,3,8
2019-02-03,12,3,6,2,7
2019-02-10,13,3,6,2,7
2019-02-17,14,4,6,2,8
2019-02-24,14,4,6,2,8
2019-03-03,13,4,7,2,9
2019-03-10,13,4,6,2,8
